timestamp,error_type,cleaned_message,Source,Destination
2026-04-25 20:09:13.392487000,UDP,47863    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392487000,UDP,49066    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392487000,UDP,47548    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392487000,UDP,36317    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392487000,UDP,58580    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392487000,UDP,35703    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392487000,UDP,36647    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392488000,UDP,51841    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392499000,UDP,60144    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392499000,UDP,48785    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392499000,UDP,36724    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392499000,UDP,47439    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392499000,UDP,34125    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392499000,UDP,36356    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392499000,UDP,50465    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:13.392651000,UDP,4997    47863 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392651000,UDP,4997    49066 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392651000,UDP,4997    47548 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392651000,UDP,4997    36317 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392651000,UDP,4997    58580 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392651000,UDP,4997    35703 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392651000,UDP,4997    36647 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392651000,UDP,4997    51841 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392654000,UDP,4997    60144 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392693000,UDP,4997    48785 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392693000,UDP,4997    36724 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392693000,UDP,4997    47439 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392693000,UDP,4997    34125 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392693000,UDP,4997    36356 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:13.392695000,UDP,4997    50465 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.037364000,HTTP2,headers207961,192.168.0.20,192.168.0.12
2026-04-25 20:09:14.037364000,HTTP2,data207961,192.168.0.20,192.168.0.12
2026-04-25 20:09:14.037552000,TCP,7777    43340 ack seq1 ack147 win501 len0 tsval1600748776 tsecr3424721035,192.168.0.12,192.168.0.20
2026-04-25 20:09:14.038032000,HTTP2,headers207961 204 no content,192.168.0.12,192.168.0.20
2026-04-25 20:09:14.038032000,TCP,43340    7777 ack seq147 ack36 win501 len0 tsval3424721036 tsecr1600748776,192.168.0.20,192.168.0.12
2026-04-25 20:09:14.394498000,UDP,36317    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394498000,UDP,47863    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394499000,UDP,50465    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394499000,UDP,35703    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394499000,UDP,36356    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394499000,UDP,34125    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394499000,UDP,58580    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394499000,UDP,47548    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394510000,UDP,36647    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394510000,UDP,47439    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394510000,UDP,48785    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394510000,UDP,49066    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394510000,UDP,51841    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394510000,UDP,60144    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394510000,UDP,36724    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:14.394652000,UDP,4997    36317 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394652000,UDP,4997    47863 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394652000,UDP,4997    50465 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394652000,UDP,4997    35703 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394652000,UDP,4997    36356 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394652000,UDP,4997    34125 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394652000,UDP,4997    58580 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394652000,UDP,4997    47548 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394657000,UDP,4997    36647 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394657000,UDP,4997    47439 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394657000,UDP,4997    48785 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394657000,UDP,4997    49066 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394657000,UDP,4997    51841 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394657000,UDP,4997    60144 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:14.394657000,UDP,4997    36724 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:15.398448000,UDP,47863    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398448000,UDP,36647    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398449000,UDP,60144    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398449000,UDP,47439    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398449000,UDP,58580    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398449000,UDP,36356    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398449000,UDP,49066    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398449000,UDP,51841    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398458000,UDP,48785    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398459000,UDP,35703    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398489000,UDP,36724    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398489000,UDP,36317    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398489000,UDP,47548    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398489000,UDP,50465    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398489000,UDP,34125    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:15.398590000,UDP,4997    47863 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:15.398590000,UDP,4997    36647 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:15.398590000,UDP,4997    60144 len17,192.168.0.22,192.168.0.23
